,questionType,asin,question,answerType,answer
1455,open-ended,B000HCVR58,Microsoft publisher 2007: How good is Microsoft Publisher 2007 as a web design program?,,Will it work on Windows7?
1456,open-ended,B000HCVR58,upgrading files from Publisher 97? Is this possible?,,"2+ years ago you asked this question. I also have been using Publisher 97 for years and would like to conver to Publisher 2007. I have Windows XP (w/service Pack 3). Were you able to convert your '97' files to '2007'? I would like to open my '97' files, make changes and then save them on '2007'. Thanks for any input you can provide. Larry e-mail: llbuggie@aol.com"
1457,open-ended,B000HCZ9BG,Volume Licenses?,,there is a volume license program check the Microsoft website
1458,open-ended,B000HCZ9BG,What is the difference between the Upgrade and Full versions? What is the difference between the Upgrade and Full versions?,,"Upgrade edition is to upgrade your current version of Windows to Windows Vista, full version is for a complete install. Full version would be for if your version of Windows is older than the upgradeable versions (in which case your hardware is likely incompatible anyway) or if you're buying a computer that doesn't have an OS (or building one yourself) or if you want to start fresh with Windows Vista after formatting your hard disk. Remember: should you buy the upgrade version and decide to restore your computer to factory at some point, you will need to upgrade your windows version again (if you still want to use Vista)"
1459,open-ended,B000HCZ9BG,Does this include both 64 and 32 bit versions? Does anyone know about this?,,"From what I`ve read, both versions come in the same DVD. Many programs won`t work in the 64 bit version though, as they are not designed for it. See PC Magazine January for more details Regards Roberto"
1460,open-ended,B000HCZ9BG,multiple computers: can you install vista onto multiple computers like microsoft office or is it just one computer per disk?,,"Tennyson said, ""Well, that's it for me. If Bill Gates thinks he can make more billions by charging for a license for each PC then that's the end of the road for me."" Every single version of Windows since 1.0 has been licensed this way. Windows Vista is no different. If you've been using that same (set of) Windows install disk(s) to install on multiple machines WITHOUT purchasing additional licenses, then congratulations, you're a criminal! How's it feel? Instead of letting your software run your computer, why not let your computer run your software for a change? There are free (as in freedom; liberty) operating systems available today, one of which is GNU+Linux (that's the GNU operating system plus the kernel called ""Linux""). There are GNU+Linux ""Live CDs"" that let you try the operating system before you install it on your machine, just to make sure you're going to be able to use the OS. One such Live CD is available at http://www.gnewsense.org/. If you don't have CD burning capability, let me know and I'll ship you a Live CD at no cost to you. Free software is software that comes with the freedoms to use it, modify it, learn from it, and redistribute it any way you want, as long as you don't deny anybody else these same freedoms. If you decide you like GNU+Linux, you can install it on a thousand computers, all from the same CD(s), without ever being forced to buy extra licenses or pay anybody any money of any kind. Don't worry, it's legal, and actually encouraged! The developers of free software want people to be liberated from the tyranny that proprietary software subjects its users (and other developers) to as much as possible, even if it means these developers don't get paid for their work. Free software really is a social, humanitarian movement. If you have any questions whatsoever, please feel free to contact me via e-mail or Jabber at: cparker -at- binaryfreedom -dot- info"
1461,open-ended,B000HCZ9BG,Can i install vista upgrade on a formated drive? I have media center XP but can i still install the vista upgrade after i format it?,,"You can perform a clean install using Vista Upgrade disk, you need to do the following. 1. Boot your computer from the vista upgrade DVD 2. When running installation, vista will ask for your product Key, leave the space empty. Vista will ask you if you are sure to continue without entering the product key, click yes 3. When Vista Asks if it should activate the product when online, uncheck the box. 4. A List of different Vista Versions will show on your screen, select the same version you're using, for example, if your installing Vista Home Premium Upgrade, select Vista Home Premium. 5. After the installation completes, Boot your computer and log on into vista, insert the DVD, and run the installation process again, only this time, do enter your product Key, and allow windows to activate itself when online, vista will take care of the rest, when the installation concludes, you'll have your vista system running with your valid license and performing like a clean installation."
1462,open-ended,B000HCZ9BG,I'm buying a new computer...i have a question: Should I purchase my new Dell XPS computer with Vista or XP?,,"Go with XP by all means. Even with all its warts XP does run most of the time. Vista is the worst pile of crap microsoft has foisted on the public since Windows Millenium. Incompatibility with existing programs is by far the least of the problems you will face. Vista manages to hang and require a manual power down reboot about 5 - 9 times a day. MS Office 2007 manages to hang it about 75% of the tie, with Word and Outlook being about equal at being the cause. The rest of the time Windows Explorer stops responding forever. This happens on all 3 of the machines I have that are running Vista. Two of the machines are new and were shipped with Vista, the third was upgraded from XP Professonal. Vista is visually stunning and has some nice features, but when you spend as much as 5 hours a day waiting on hangs and manual reboots it loses its attractiveness very quickly. The Microsoft rep. from Redmond who presented a training session for IT pros and consultants in conjunction with the launch stated that he was sure that Service Pack 1 would be released by April or May and that it should address the stability problems. Well, its now almost October and the stability problems just keep on rolling along with no imminent release of a service pack on the horizon."
1463,open-ended,B000HCZ9BG,Vista Ruined My DVD/CD Drive: Anybody with similar problem?,,"I don't think installing Vista ruined your drive. It was just coincidence; the drive was probably on its last, err, reads."
1464,yes/no,B000HCZ9BG,can I use my vista DVD for... I heard that you can install home premium on 2 computers without having to purchase a license key. is this true?,N,"No, it is a one to one licensing schema."
1465,open-ended,B000HCZ9BG,can i run premium even if the upgrade advisor saids basic?? can i at least run vista premium even if the upgrade advisor sais basic?,,"Same happened to me, upgrade advisor told me ""Home Basic seems..."", however I bought Home Premium, installed 2 days ago, so far, so good. I got 3.3 on the hardware rating."
1466,open-ended,B000HCZ9BG,Can't use with dial-up? What do others advise?,,"if your PC is 3 years old, I seriously doubt you will be able to install vista premium...maybe basic but why would you do that? be better off sticking with XP and keeping your $100. I would run the vista upgrade advisor, and if you're not a tech-savvy person, take it to someplace like the geek squad at best buy and ask them what it would take to get your pc vista capable if it's possible. bottom line - check things out before you drop $ on anything."
1467,open-ended,B000HCXKLC,How many computers can this be installed on? How many computers can this one software be installed on?,,"I'm not sure about single Office 2007 components, but I can tell you that Office 2007 suites (in general) may be installed on one desktop and one portable device (i.e. laptop). This is only allowed if the software is used on the portable device by the primary owner of the desktop. I imagine that standalone components, such as Outlook 2007, are allowed on both a desktop and portable device as well. I've personally installed the Office 2007 Professional suite on both my desktop and laptop using the same product key...and activation worked fine on both. Hope that this helps."
1468,open-ended,B000HCXKLC,Autocorrection inconsistencies: What gives?,,"This is because Outlook 2007 offers you only limited functionality when Word 2007 is not installed. I'm in the same situation and searched for a long time to finally find the respective White Paper MS published on that. You can access the White Paper by typing in ""spell checker"" (no quotes just the words) in the Outlook 2007 help field. It then comes up with a long list of stuff. Look for the ""Microsoft Office Outlook 2007 e-mail editor white paper"" link and click on it. There you can download the document... It only explains but does not help though... :-("
1469,yes/no,B000HCXKLC,Does this version plays nicely with Word 2013?,?,Carol Davis. No you can not use Microsoft Outlook 2007 with Word 2013 . You have to have Microsoft Outlook 2007 and Word 2007 it the same with Microsoft Outlook 2013 you have to have Word 2013 and so on... A friend of mine explain it to me for it to all work. They have to have th3e same year. Hope I have help you...
1470,open-ended,B000HCXKLC,how to use microsoft outlook 2007: I have never used outlook before so can someone tell me how to use it and how an email account is created in outlook?,,"It ain't easy let me tell ya. You have to click the ""accounts"" tab and enter your server protocols. Outlook 2007 does have a search feature, and if you use a major IP it might be able to find and fill in the settings for you. But other wise, click tools, click accounts, click add, fill in your name, clik next, fill in your email address, click next, fill in your pop3 server (you can find what you need to type in by googling for your email provider and then searching pop3)so the same for your SMTP details (if you have a Qwest sub-account, you will have to go through a whole different proceedure) click next, and finally fill in your email address and password. Be prepared to get really frustrated. Good luck."
1471,yes/no,B000HCXKLC,Will it work with word 2002?,?,Don't know about Word 2002. It works with Word 2000.
1472,yes/no,B000HCXKLC,Will the Outlook 2007 work with Microsoft Home and Student 2007 if installed on a Windows 8 machine?,?,I can think of no reason why it wouldn't work. If H&S 2007 is functioning on your windows 8 machine then there shouldn't be any problems with outlook either.
1473,yes/no,B000HCXKLC,Will the Outlook 2007 work with Microsoft Home and Student 2007 if installed on a Windows 8 machine?,Y,I sorry but I have no idea if it will work with the Windows 8 Operating system.
1474,open-ended,B000HCXKLC,"Outlook install on netbook: Does anyone know a clever way to install Outlook on a netbook, without buying and external drive for a one time use ??",,Yes. Dell now sells a downloadable version of Microsoft Outlook 2007. Go to this link: http://accessories.us.dell.com/sna/productdetail.aspx?c=us&l=en&s=bsd&cs=04&sku=a2542769
1475,open-ended,B000HCXKLC,Outlook error 551 not our customer: Anyone have any idea where to start to get this thing fixed?,,"It's a bellsouth/att settings issue (they changed something) that their tech assistance can walk you through. It appeared to require two differecnt corrections on two of our computers, and no correction on two others."
1476,open-ended,B000HCXKLC,Iphone sync with Outlook. If I install Outlook will it conflict with older Office?,,Sync your iphone to google and all will do well..............outlook doesn't quite cut it but google does it all great!! You'll have to get gmail and use their calendar. takes ~ 1 minute to sync. Just follow sync instructions once.
1477,open-ended,B000HCXKLC,How many computers can this be installed on? How many computers can this one software be installed on?,,"I'm not sure about single Office 2007 components, but I can tell you that Office 2007 suites (in general) may be installed on one desktop and one portable device (i.e. laptop). This is only allowed if the software is used on the portable device by the primary owner of the desktop. I imagine that standalone components, such as Outlook 2007, are allowed on both a desktop and portable device as well. I've personally installed the Office 2007 Professional suite on both my desktop and laptop using the same product key...and activation worked fine on both. Hope that this helps."
1478,open-ended,B000HCXKLC,Autocorrection inconsistencies: What gives?,,"This is because Outlook 2007 offers you only limited functionality when Word 2007 is not installed. I'm in the same situation and searched for a long time to finally find the respective White Paper MS published on that. You can access the White Paper by typing in ""spell checker"" (no quotes just the words) in the Outlook 2007 help field. It then comes up with a long list of stuff. Look for the ""Microsoft Office Outlook 2007 e-mail editor white paper"" link and click on it. There you can download the document... It only explains but does not help though... :-("
1479,yes/no,B000HCXKLC,Does this version plays nicely with Word 2013?,?,Carol Davis. No you can not use Microsoft Outlook 2007 with Word 2013 . You have to have Microsoft Outlook 2007 and Word 2007 it the same with Microsoft Outlook 2013 you have to have Word 2013 and so on... A friend of mine explain it to me for it to all work. They have to have th3e same year. Hope I have help you...
1480,open-ended,B000HCXKLC,how to use microsoft outlook 2007: I have never used outlook before so can someone tell me how to use it and how an email account is created in outlook?,,"It ain't easy let me tell ya. You have to click the ""accounts"" tab and enter your server protocols. Outlook 2007 does have a search feature, and if you use a major IP it might be able to find and fill in the settings for you. But other wise, click tools, click accounts, click add, fill in your name, clik next, fill in your email address, click next, fill in your pop3 server (you can find what you need to type in by googling for your email provider and then searching pop3)so the same for your SMTP details (if you have a Qwest sub-account, you will have to go through a whole different proceedure) click next, and finally fill in your email address and password. Be prepared to get really frustrated. Good luck."
1481,yes/no,B000HCXKLC,Will it work with word 2002?,?,Don't know about Word 2002. It works with Word 2000.
1482,yes/no,B000HCXKLC,Will the Outlook 2007 work with Microsoft Home and Student 2007 if installed on a Windows 8 machine?,?,I can think of no reason why it wouldn't work. If H&S 2007 is functioning on your windows 8 machine then there shouldn't be any problems with outlook either.
1483,yes/no,B000HCXKLC,Will the Outlook 2007 work with Microsoft Home and Student 2007 if installed on a Windows 8 machine?,Y,I sorry but I have no idea if it will work with the Windows 8 Operating system.
1484,open-ended,B000HCXKLC,"Outlook install on netbook: Does anyone know a clever way to install Outlook on a netbook, without buying and external drive for a one time use ??",,Yes. Dell now sells a downloadable version of Microsoft Outlook 2007. Go to this link: http://accessories.us.dell.com/sna/productdetail.aspx?c=us&l=en&s=bsd&cs=04&sku=a2542769
1485,open-ended,B000HCXKLC,Outlook error 551 not our customer: Anyone have any idea where to start to get this thing fixed?,,"It's a bellsouth/att settings issue (they changed something) that their tech assistance can walk you through. It appeared to require two differecnt corrections on two of our computers, and no correction on two others."
1486,open-ended,B000HCXKLC,Iphone sync with Outlook. If I install Outlook will it conflict with older Office?,,Sync your iphone to google and all will do well..............outlook doesn't quite cut it but google does it all great!! You'll have to get gmail and use their calendar. takes ~ 1 minute to sync. Just follow sync instructions once.
1487,open-ended,B000HCXKKS,can this be installed on a laptop with no cd or dvd drive?,,It is a CD - so I only know how to load it onto the computer by using the CD drive.
1488,yes/no,B000HCXKKS,Have your prior installs been erased?,Y,There was no software - just Windows 8 since it was a brand new computer. It's just that my old disks were too scratched to reuse.
1489,open-ended,B000HCXKKS,How many computer can I install the software on?,,"Greg, I couldn't find the answer on my software, but I can tell you that I have installed it on one desktop and one laptop with no problem whatsoever. I bought a second copy for a laptop I purchased later."
1490,open-ended,B000HCXKKS,How many users can this support,,You get three downloads.
1491,open-ended,B000HCXKMG,Upgrading GPS unit: Is the new GPS unit significantly better than the 2006 one?,,"Actually they are the same unit, the Pharos iGPS-500. The only difference is the size, with the 2007 being slightly more compact. http://www.gpspassion.com/forumsen/topic.asp?TOPIC_ID=64049 http://www.gpspassion.com/forumsen/topic.asp?TOPIC_ID=68026&#407286"
1492,yes/no,B000HCXKMG,does it also include the cable that connects the gps locator to the computer,Y,"If you are buying the 2007 Version then I'm not sure. I originally purchased that version and, yes, it does come with the GPS device and cable. I have since upgraded to the 2013 version but I still use my original device and cable. Hope this helps... Wait, I just checked this model and it does come with the cable. It is just the older version but it works great. We have used S&T since it was introduced."
1493,open-ended,B000HCXKMG,"Does this include GPS hardware too? When I buy this product (software) at some $90, do I also have to buy GPS hardware device too?",,yes...that's what the silver thing is in the box
1494,open-ended,B000HCXKMG,Compatibility with Vista: Does anyone have experience using this product with Windows Vista?,,It works just fine on my laptop running Windows Vista Home Premium.
1495,open-ended,B000HCXKJY,"Which is better, Microsoft Office Home 2007 or Microsoft Office Professional 2007 for a home word processing project",,MS professional
1496,yes/no,B000HCXKJY,Can MS Office Pro 2007 be used on Windows 8.1?,Y,"According to Microsoft, yes, it is compatible."
1497,open-ended,B000HCXKJY,I have 2003 and want to make sure I can just update to this 2007 before I buy?,,Yes. All 2003 files will work in 2007 version. I went from MS Office Pro 2003 to MS Office Pro 2007 with no problems at all.
1498,yes/no,B000HCXKJY,can I install this if I currently do not have MS office on my computer?,N,"NO, this is an upgrade from a previous version ONLY"
1499,open-ended,B000HCXKJY,Will it install and run in Windows 7 64 bit? And does it need a previously installed version of Office to upgrade to?,,"I don't know, but I suspect it will. Check to MS website. I did not buy this here. Well, I did, used, but the license had already been used up so I returned it."
1500,yes/no,B000HCXKJY,Does MS office professional 2007 upgrade have Publisher on it,Y,yes
1501,open-ended,B000HCXKJY,How many PC's can you use this on? Does it have the 2-3 ability with 1 user?,,"I don't know, but it is probably a one user product."
1502,yes/no,B000HCXKJY,does this come with cds will it work with office 2000 premium.does it come with outlook,Y,"As far as I remember, it came with a DVD and upgraded Office 2000. It came with Outlook.."
1503,open-ended,B000HCXKJY,"Rec'd 2007, installed disc #1 (Beautiful!) What is disc #2 for or what does it add? (there was no prompt to add it)",,"Wow, all you had to do is google office 2007 pro disc 2? And the info pops up. I had forgotten, but here is one of the posts... Business Contact Manager for Outlook 2007. It is not part of Office 2007 installation. It needs to be installed separately after the main Office suite is installed and validated."
1504,yes/no,B000HCXKJY,Will this import Outlook Express 6 (all) in an XP environment?,Y,Yes
1505,open-ended,B000HCZ9AW,I love Ubuntu! Why?,,I haven't found too many games (much less programs) in the store that run on Linux. I do my work at work. Not sure why Linux would be at all useful to me. I already know my PC hardware is not compatible with the Unbuntu drivers supplied on the CD. Why fight easy and useful?
1506,open-ended,B000HCZ9AW,sound problems: IS anyone else having problems with making their audio drivers work.,,"If you have an older Creative Sound Blaster card, it will not work with Vista. Creative, according to their website, has no plans to produce a driver for Vista. When I was using the Release Canidates, I had to enable my onboard audio to get sound. My suggestion: enable onboard audio in your bios if possibe, or upgrade your sound card."
1507,open-ended,B000HCZ9AW,Has anyone installed Vista Home Premium on their Mac? I've seen articles about Ultimate being installed on MacBook Pros but what about this verison?,,"It is my understand you can install this version on a mac with an intel chipset however, from what I understand you need to get an extra program to help with the install. Dont recall the name off hand"
1508,open-ended,B000HCZ9AW,Installing Vista Premium Full on 2 Computers: Can this be done or do I have to purchase an additional license?,,I believe that since your second computer is a laptop that you can install it. It cannot go on two desktops however. I think I remember reading something about one license working for a desktop and laptop at the same time.
1509,open-ended,B000HCZ9AW,replaced the hard drive in my hp laptopwhat do i need get windows vista back on it,,"It would seem to me that you would have to do a re-install of your windows vista, at least that is what I would do IF IT IS COMPLETELY GONE!"
1510,open-ended,B000HCZ9AW,"downgrading from Vista to XP: Anyone out there know if you have to buy the full version of XP software in order to downgrade from Vista, or if you can just buy the ""upgrade""?",,"Some computer companies ship XP restore disks with Vista computers. Dell offers the ability to buy some computers with XP installed. If you get a computer with Vista, I think you legally have the right to replace it with XP, and you can always download XP from some software pirate site. If you get a laptop that already has Vista, chances are you're not going to have too many problems, unless you have something that's not Vista compatible. You could also disable all the stupid ""security"" pop-ups. You should also consider buying a Mac laptop. Most people really like them, and with it you can duel-boot with XP, Vista, Linux, whatever (but you would have to buy the XP DVD)."
1511,open-ended,B000HCZ9AW,Will Windows Vista get rid of the need for Nero or Roxio? Does Windows Vista come with full CD/DVD burning capabilities?,,"of course it should. It's just like xp feature called the drag and drop. Right click on whatever file you wanna burn, go to send to and then select DVD-Rw drive and it will tell you it's ready to burn."
1512,open-ended,B000HDKVCM,What is Service Desk Edition?,,"To quote eHow: ""The key difference between the Service Desk Edition and Standard Edition of Microsoft Office is packaging. The Service Desk Edition is sold in a plastic case similar to a DVD case, while the Standard Edition is sold in a cardboard box. The smaller case allows retailers to hang these editions from a peg at their service desks in order to advertise upgrades of Microsoft Office."" From http://www.ehow.com/facts_7762657_service-desk-edition-microsoft-office.html#ixzz2ar5mCR6C"
1513,yes/no,B000HDKVCM,I want an alternative to office 365. Will this 2007 work with Windows 8.1?,Y,Yes. It works with 8.1 too. I just upgraded (from win 8) to win 8.1 and the MS 2007 still works just fine.
1514,yes/no,B000HDKVCM,Does this version come with a disc?,?,"This product came with a disc and a plastic key card. It was necessary to go to a website to activate. I decided I did not want to ""store"" in the ""cloud"" when making a choice. I just wanted it on my computer - hope I did that correctly! The CD was for Microsoft Office Professional Edition 2007 with online activation - an enclosed note indicated that it was for 3. Also included was a key card (labeled 1PC) for Office Home &Student 2013."
1515,open-ended,B000HDKVCM,Is this software a full version install or only upgrade install?,,I found the packaging for the product received: Included was a CD for Microsoft Office Professional Edition 2007 with online activation - an enclosed note indicated that it was for 3. Also included was a key card (labeled 1PC) for Office Home & Student 2013. I downloaded the 2013 to one computer and 1 of the 2007 to another. No problems thus far.
1516,open-ended,B000HDKVCM,Can it print address labels and does it have an address book,,Yes
1517,open-ended,B000HDKVCM,does it come with a license or activation key?,,"Mine came with a activation key. It doesn't come with a box, however, just in a CD sleeve."
1518,yes/no,B000HDKVCM,All of my Word &amp; Excel files were created on in Office 2003 (Vista O/S 32-bit). Can I open/save those files on a new laptop with Windows 8.1?,Y,"I'd say 'yes'. I currently have a Dell PC with Windows 2007 and Office 2007, and when it came time to use files created by Word 2000, there was no problem--it was fairly automatic. At most, you might need to right-click on the file, click on Properties and then Compatibility, but it's been my experience that MS is smarter than most of us, and that it just takes care of that. Boogey on!"
1519,yes/no,B000HDKVCM,"If one of my computers dies, can I reload this software on a new computer as long as I am only running it on 3 pc's?",?,Depends on your license.
1520,open-ended,B000HDKVCM,What is the difference between the Student and Home versions?,,I dont know I never received this product
1521,yes/no,B000HDKVCM,does this product work on Vista,Y,"Yes, Office works with Vista."
1522,yes/no,B000HKIM7Q,Does this work with windows 7?,?,Yep. Everything is saved as a PDF.
1523,yes/no,B000HKIM7Q,Can you read the comics with out printing them?,Y,Yes
1524,open-ended,B000HKIM7Q,"when you print them, what is the printing format? Is it page by page or 2 per one?",,"It prints then 1 PDF page or 2 comic pages at a time. Just a heads up though, it will print with the watermark over everything making it hard to read. I performed a comic for a forensic competition and needed to provide source material, so I screen shot each page then put that into a word document and saved it as a PDF. This circumnavigated the watermark, but was a little tedious getting the adjusting the size and cropping the screen shots."
1525,open-ended,B000HKIM7Q,"How do i use this? I want to get this, but do I need winzip or anything?",,You just put it in your DVD drive and enjoy. You need Adobe Reader not Flash
1526,open-ended,B000HKIM7Q,Amazing Fantasy #15: Does anyone know if the origin story is on there?,,Yes it is...
1527,open-ended,B000HKIM7Q,"Is this information correct? The one I got, and it even looks opened or at least treated very badly, has comics only through JUNE 2006, and a total of 560 complete comic books including (same stuff) So is this a shipping mistake, a bait-and-switch, or...",,"If you go on the manufacturer's website, they changed the material. You now get only 560 comics instead of 575. I guess if they waited for Marvel Civil War to be over, the we will have to wait until next March or April to finally get it."
1528,open-ended,B000HKIM7Q,"Is there a release date for this? I can't even fins a website or contact details for GIT Corp in order to ask them directly, so does anyone out thereknow?",,"Mark, I had trouble finding information on this as well. The GIT website is www.gitcorp.com and you can find this collection under the coming soon section. Unfortunatly it only says Holiday Season 2006 as the release date."
1529,open-ended,B000HKIM7Q,"Are these the legit books, or the horrid digitized versions like on Marvel.com's archives? I am dying to know if these are legit scans of the books, or that horrid digitized look from Marvels online archives?",,"James, Just for your info, all images are from the original comic books, none of the complete collection including The Avengers are from the remastered digital like stuff you see in the masterworks. I know for sure because my company produced these fine products."
1530,open-ended,B000HKIM7Q,Portable Device Use? Can I download these to an iPad or iPod?,,"if they're pdf's you can use cloudreader, comicbooklover or any number of ipad apps."
1531,open-ended,B000HKIM7Q,International copy write law? Why won't Amazon post this item to the minor country of New Zealand but will post the CDROM set?,,"This is the US site, stuff posted on THIS Amazon applies to US items."
1532,open-ended,B000HKMQ64,"I am running windows 8.1 and was wondering if anyone knew how to access the search engine in this OS. I can open individual issues, but don't know ho",,"I don't know about Windows 8.1 or know why it would be different than anything else. On my old XP machine, I just follow the single-sheet instructions that came with the DVD. Launch the Start.pdf file at the DVD's root directory and Acrobat (mine is Adobe Reader XI) shows you covers of the issues gathered in decades or years. Do an Edit/Advanced Search and be sure you're searching the file MAD1.pdx file and tell it what you're looking for. I tried ""put*on"" and after spinning the disc a few times it brought up the parody of the movie Patton in the Jan 1971 issue. Surprisingly, the index seems to include words that are in the (hand-drawn) cartoons which means some poor guy had to manually type all those in. When I tried just the Find, I didn't get anything useful. I can't imagine what would be different if you were using Win8.1. Do your search from within the Adobe program, not some Windows search (which may not break through compressions, crypto, or encodings - I don't know). [P.S. All of your question didn't come through, ended with ""but didn't know ho""]"
1533,open-ended,B000HKMQ64,Absolutely Mad DVD bonus material? Am I looking in the wrong place?,,"While this product is a lot of fun, there is one glaring error; they forgot to scan those in. If you look enough on the internet you can find pictures of them."
1534,open-ended,B000HKMQ64,Will this product work with Windows 7? Will this product work with Windows 7?,,"It works fine on Windows 7; inserting the disc just opens a PDF file that allows you to browse the various other PDF files (organized by decade of publication). Most computers already have Adobe Reader installed for reading PDF files. If you do not, you can always get the latest version for free at http://get.adobe.com/reader/."
1535,open-ended,B000HKMQ64,Does anyone know if this will run under Windows 8?,,Yes runs fine on Windows 8' they are just pdf files.
1536,open-ended,B000HKMQ64,I have a laptop using Win 8 And just recently inherited a Galaxy Tab2 10.1 any info on how I can load this onto my tab for reading on the go?,,"Being sensitive to the people around me, I find it best to covertly read my MAD Magazine cloaked in a US News & World Report, People, O Magazine, Car & Driver, or Playboy. MAD may be considered NSFW. However, if you want to read it stashed within a tablet, the DVD is basically a stack of .pdf files. So, you'd need a DVD reader to connect to something (maybe your laptop) and then just manually drag all the .pdf files somehow over to your tablet. If your tablet won't open .pdf files then you're going to be dead meat, unless some Cloud-based service (Adobe) will convert them for you. However, I'm not sure how well satirical American humor will go over in a Korean (or Chinese or Japanese) tablet. Different cultures you know."
1537,open-ended,B000HKMQ64,iPad Compatible? Do issues reside as individual files that can be transferred over to the iPad?,,"I don't have the product, but judging solely on the other reviews, I would say yes. There are reviews where the reviewer transferred individual issues to PDAs etc, so as long as you can transfer individual PDFs to the iPad, you should be set."
1538,open-ended,B000HKMQ64,"I have the 2006 single DVD and the last issue is #460, December of 2005. The new version seems to be two DVD. Does the new version cover the issues beyond 2005 and issue #460? How many years are covered after 2005? Thanks.",,I just bought this about 1 month ago and it was a single DVD with the last issue in 2005 like yours.
1539,open-ended,B000HKMQ64,Will this item ever be in stock??? Can someone from Amazon help me (a MAD geek) with this?,,I am in the same boat. I ordered this about a month ago and I just got an e-mail showing that the delivery is pushed back another 1-2 weeks. I'm wondering if Amazon really does have them at all.
1540,open-ended,B000HKMQ64,Does the DVD include Don's Joe Fonebone cartoon? What is the quality?,,"Hello Christopher! I haven't forgotten you. I've been in the hospital and I haven't felt quite up to the task yet. I will go through the '60s material as soon as I can, but I am certain that the cartoon is there. They have simply taken everything including special issues and put them conveniently on a disk. It is well done and even easy to add to an pad. After I read my iPad issues I will delete them and add other issues from my main computer. I am an. Astronomer and plan to buy Astronomy magazine on a disk as well. Every issue all the way from 1973 is on there. These all inclusive disks are a good way to keep multiple issues for life without having to have massive amounts of storage space for hundreds of magazines. And your issues won't rip and tear and you won't spill coffee on them ( or I hope not for your iPads sake, ha, ha!). The MAD disk loads easily and to me is a treasure. It is about $59 bucks where as Astronomy will cost about $150 bucks,but you get so much. I am glad I bought it because I will be reading material that I missed for the next several years! Sorry about the delay, but I have been really sick lately. Let me know if you decide to purchase before my search and if you do, what your experience is. Russ"
1541,open-ended,B000HLV59W,works with vista? Does any know if this works with Vista?,,"I know EXACTLY where you are coming from. I was so worried about the same thing. My new computer has Vista. I tried running my old 3.0 version on it and it crashed my whole system. After I got my computer up and running again, I called Adobe 3 times asking about the 5.0. I was worried that my it would crash my system again before I could download the patch, and the cost of the new program would be a waste. They kept saying it would be ok. Well, I held my breath and tried it a few days ago. And it is up and running fine. Isn't the new Vista such a pain in the butt??"
1542,open-ended,B000HLV59W,Photoshop 5: Must one delete PS 2 and/or Photoshop 3 before installing Photoshop 5?,,No. Absolutely not. The apps can co-exist peacefully and even run at the same time. (BTW: I assume you are talking about PSE 2 and/or three not PS - unless you are still running PS versions from the early nineties)
1543,open-ended,B000HLV59W,Photoshop 5 or 6 What's the difference? What does PS6 have that 5 doesn't have?,,"quick answer, nothing. lol. As far as I can tell the only real difference between 5 vs 6 & 7 is the color. I used the trial verstion of 7.0 and I'm sticking with my 5.0 until they make a version with something new."
1544,yes/no,B000HLV59W,Will Photoshop Elements 5 work on Windows 7?,?,Hi Kenneth; I recently upgraded (new computer) from Windows XP to Windows 7 Home Premium and Photoshop Elements 5 works just fine.
1545,yes/no,B000HLV59W,"Old picture repair: Have cracked, spots on old family photos, will this program work?",?,Can this progam be used on vista or windows seven?
1546,open-ended,B000HLV59W,Elements or Paint Shop??? Does anyone have an opinion on which program is better?,,"I have Elements 5 and Paintshop Pro 8 (and 7). All are very good, but the emphasis is different. I use Elements for processing my DSLR photos using the included Adobe Camera Raw. It is reasonably easy to use and the quality of the results is excellent. I use the PTlens plugin to correct for lens defects and Elements works well with this. I very occasionally like to use a feature that Adobe has left out in order to avoid competing with full Photoshop. Examples include Curves adjustment layers and fully automated batch editing. In this case I switch to Paintshop Pro, which invariably does have the missing feature. If you don't know why you would need these features, you probably don't! I don't use the built in Organiser, because I started using Picassa (free from Google) for this purpose and I see no reason to change. For design work, such as web design, I would personally choose to use Paintshop Pro, because its feature set is more complete, (Paintshop Pro 8 is roughly equivalent to Photoshop version 6), and because those advanced features are more easily accessible. Other people that I know would choose to use full Photoshop instead, and I can understand their point of view. Photoshop Elements needs quite a powerfull (i.e. new) computer, if it is not to seem slow. I understand that this is also true for the latest Paint Shop Pro. Finally, you can download both of these products for a free month's trial, so why not try then out and make your mind up after that?"
1547,open-ended,B000HLV59W,Layers and Brushes: Can Elements do all these things?,,"In Elements, you will still be able to use all the features you mentions. What elements is lacking is stuff you or I would probably never use, like support from RAW formated photos and vector graphix, or a feature called image warp. CS2 is more for the proffesional user so most likely theres not much of anything you will miss by switching to elements."
1548,open-ended,B000HLV59W,Is this the product I need?? Do I really need to upgrade to Elements?,,"No, I would think not. Try instead the excellent freeware Picasa from google."
1549,open-ended,B000HLV59W,slides to CD's: Can I use this software and a scanner to transfer slides to CD's?,,I can't answer that question but I can tell you that I had lots of slides and I shipped them off to scancafe.com and they scanned them and put them on a cd for .24 a slide (you get to pick which ones you want as long as you choose 50% or more).
1550,open-ended,B000HLV59W,"Photoshop Album Starter automatic download: Does PSE5 automatically download Photoshop Album Starter Edition, or is it replaced by the organizer which I saw in a review?",,You can access the photo's without using the organizer.
